Marca_temporal,Sexo:,Edad,Escolaridad,Antigüedad como funcionario,Calidad de la atención al socio.,Rapidez en la prestación de servicios.,Solución de problemas.,Profesionalismo del personal.,2. Cualidades de los productos financieros: Accesibilidad.,Competitividad.,Diversidad de productos.,Flexibilidad de condiciones.,3. Programas de recompensas: Incentivos económicos.,Beneficios preferenciales.,Reconocimientos.,Programas de fidelización.,4. Beneficios de obra social: Apoyo educativo.,Programas comunitarios.,Actividades sociales.,Responsabilidad social cooperativa.,5. Capital social: Disposición para incrementar aportaciones de los socios.,Permanencia y crecimiento de socios.
46181.423449004629,F,42 años,Maestría,19 años,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46181.440165358799,F,41,Universitaria,17 AÑOS,5,4,5,4,5,4,5,5,3,5,4,4,5,4,4,5,5,4
46181.4512684375,F,45 AÑOS,Maestría,18 AÑOS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46181.455244814817,F,48,Universitaria,23,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
46181.498748564816,M,43,Maestría,20,4,3,4,4,5,4,5,4,2,4,3,3,5,2,3,3,5,4
46181.509978414353,M,41AÑOS,Universitaria,19 AÑOS,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46181.590677025466,M,58,Universitaria,28,5,5,5,5,5,5,5,4,4,3,4,3,5,5,4,4,4,5
46181.635894305553,M,43,Maestría,18 años,4,2,3,4,3,4,4,5,2,3,3,2,2,2,2,4,5,5
46181.645888900464,M,42,Maestría,12 años,4,3,4,4,4,1,1,1,4,4,1,1,1,1,1,1,3,1
46181.684213101849,F,50,Maestría,25,4,4,4,4,4,4,3,4,4,3,3,4,4,4,4,4,3,3
46181.695721388889,M,42,Maestría,20,4,4,4,4,5,5,5,4,5,4,4,4,5,5,4,4,4,4
46181.70025898148,F,49,Maestría,24,4,4,5,4,5,5,5,4,2,3,3,4,4,4,4,5,4,4
46181.72762774305,M,49,Universitaria,26 años,4,3,4,4,5,4,4,3,3,3,4,3,4,3,4,4,4,4
46181.728975844904,M,41,Maestría,17,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
46181.72942581019,M,48,Universitaria,19,5,4,5,5,5,4,5,3,4,4,3,3,5,3,4,5,5,4
